a,159
b,25
c,23
d,65
e,50
f,25
g,36
h,27
i,13
j,39
k,53
l,28
m,22
n,36
o,14
p,11
q,33
r,21
s,72
t,6
u,10
v,5
w,35
x,4
y,8
z,2
A,21
B,1
C,1
D,6
E,1
F,1
G,1
H,5
I,1
J,0
K,9
L,0
M,0
N,1
O,0
P,0
Q,0
R,0
S,0
T,0
U,0
V,0
W,0
X,0
Y,0
Z,0
1,3
2,25
3,22
4,19
5,2
6,11
7,16
8,18
9,17
0,8
!,0
@,0
#,0
$,0
%,0
^,0
&,0
*,0
(,0
),0
-,3
_,0
=,3
+,0
`,39
~,0
[,0
{,0
],0
},0
\,6
|,0
;,5
:,0
',0
"""",0
",",0
<,0
.,1
>,0
/,0
?,0
caps_lock,3
shift,21
enter,17
backspace,35
tab,101
delete,9
page_up,9
page_down,5
shift_r,2
up,9
left,1
down,1
right,1
ctrl_l,5
cmd,0
alt_l,3
space,35
alt_gr,2
ctrl_r,1
esc,4
f1,2
f2,1
f3,1
f4,1
f5,1
f6,1
f7,1
f8,1
f9,1
f10,1
f11,1
f12,1
